% AIRS Jan04 fast model fitting results over the 48 training
% profiles at 6 angles.  BT is the mean of the 288 (=48*6)
% BTobs spectra, RMS is the RMS of BTobs-BTcal, and amax is
% the maximum absolute value of BTobs-BTcal.
%
% Scott Hannon, 8 January 2004
%
% ID     freq      BT      RMS    amax
%----  --------  ------  ------  ------
  521   818.174  270.89  0.0043  0.0217
  522   818.553  270.67  0.0045  0.0203
  523   818.933  270.72  0.0054  0.0260
  524   819.312  270.93  0.0049  0.0248
  525   819.692  270.94  0.0052  0.0262
  526   820.072  270.78  0.0052  0.0257
  527   820.453  270.78  0.0053  0.0255
  528   820.834  270.93  0.0036  0.0145
  529   821.215  270.97  0.0038  0.0168
  530   821.597  270.87  0.0037  0.0158
  531   821.978  270.84  0.0046  0.0213
  532   822.361  270.93  0.0047  0.0226
  533   822.743  270.95  0.0053  0.0267
  534   823.126  270.93  0.0052  0.0270
  535   823.509  270.93  0.0050  0.0251
  536   823.893  271.02  0.0047  0.0240
  537   824.277  270.99  0.0047  0.0238
  538   824.661  270.39  0.0104  0.0516
  539   825.046  268.80  0.0067  0.0394
  540   825.431  269.37  0.0061  0.0430
  541   825.816  270.85  0.0045  0.0195
  542   826.201  270.99  0.0038  0.0177
  543   826.587  270.81  0.0053  0.0181
  544   826.974  270.13  0.0067  0.0507
  545   827.360  268.50  0.0082  0.0542
  546   827.747  267.61  0.0098  0.0420
  547   828.135  269.56  0.0065  0.0445
  548   828.522  270.78  0.0048  0.0169
  549   828.910  270.99  0.0043  0.0204
  550   829.299  271.06  0.0038  0.0181
  551   829.687  271.10  0.0038  0.0175
  552   830.077  271.13  0.0035  0.0156
  553   830.466  271.14  0.0037  0.0165
  554   830.856  271.15  0.0035  0.0150
  555   831.246  271.16  0.0033  0.0147
  556   831.636  271.18  0.0031  0.0130
  557   832.027  271.18  0.0030  0.0129
  558   832.418  271.16  0.0027  0.0121
  559   832.809  271.15  0.0028  0.0122
  560   833.201  271.17  0.0025  0.0105
  561   833.593  271.18  0.0024  0.0105
  562   833.986  271.17  0.0022  0.0094
  563   834.379  271.15  0.0022  0.0091
  564   834.772  271.13  0.0026  0.0085
  565   835.165  270.83  0.0044  0.0357
  566   835.559  270.49  0.0062  0.0500
  567   835.954  270.84  0.0040  0.0361
  568   836.348  271.10  0.0025  0.0085
  569   836.743  271.11  0.0025  0.0101
  570   837.139  271.11  0.0023  0.0097
  571   837.534  271.08  0.0023  0.0096
  572   837.930  271.01  0.0024  0.0082
  573   838.327  271.00  0.0023  0.0087
  574   838.723  271.01  0.0022  0.0080
  575   839.120  270.82  0.0034  0.0147
  576   839.518  269.17  0.0080  0.0524
  577   839.916  267.27  0.0118  0.0436
  578   840.314  268.74  0.0095  0.0472
  579   840.712  270.42  0.0055  0.0581
