% RMS difference of BT_sarta - BT_kcarta for 206 daytime
% FOVs using ECMWF profiles.  This is an independent
% profile test of sarta; compare with the results
% using the regression profiles (regprof_rms.txt).
%
% ID      freq    RMS
%----  --------  -----
 1037  1016.193  0.061
 1038  1016.635  0.078
 1039  1017.078  0.057
 1040  1017.520  0.061
 1041  1017.964  0.095
 1042  1018.407  0.085
 1043  1018.851  0.076
 1044  1019.296  0.056
 1045  1019.740  0.043
 1046  1020.185  0.050
 1047  1020.631  0.081
 1048  1021.077  0.066
 1049  1021.523  0.046
 1050  1021.969  0.047
 1051  1022.416  0.042
 1052  1022.864  0.028
 1053  1023.312  0.032
 1054  1023.760  0.063
 1055  1024.208  0.123
 1056  1024.657  0.074
 1057  1025.106  0.035
 1058  1025.556  0.096
 1059  1026.006  0.095
 1060  1026.457  0.115
 1061  1026.907  0.065
 1062  1027.359  0.095
 1063  1027.810  0.118
 1064  1028.262  0.073
 1065  1028.714  0.060
 1066  1029.167  0.109
 1067  1029.620  0.167
 1068  1030.074  0.068
 1069  1030.528  0.057
 1070  1030.982  0.112
 1071  1031.437  0.130
 1072  1031.892  0.070
 1073  1032.348  0.051
 1074  1032.803  0.061
 1075  1033.260  0.064
 1076  1033.716  0.066
 1077  1034.173  0.056
 1078  1034.631  0.113
 1079  1035.089  0.058
 1080  1035.547  0.035
 1081  1036.005  0.064
 1082  1036.464  0.043
 1083  1036.924  0.042
 1084  1037.384  0.100
 1085  1037.844  0.086
 1086  1038.305  0.026
 1087  1038.766  0.035
 1088  1039.227  0.117
 1089  1039.689  0.072
 1090  1040.151  0.050
 1091  1040.614  0.054
 1092  1041.077  0.151
 1093  1041.540  0.110
 1094  1042.004  0.052
 1095  1042.468  0.040
 1096  1042.932  0.034
 1097  1043.397  0.037
 1098  1043.863  0.034
 1099  1044.329  0.030
 1100  1044.795  0.100
 1101  1045.261  0.069
 1102  1045.729  0.046
 1103  1046.196  0.052
 1104  1056.104  0.322
 1105  1056.580  0.054
 1106  1057.056  0.290
 1107  1057.533  0.340
 1108  1058.010  0.205
 1109  1058.487  0.124
 1110  1058.965  0.102
 1111  1059.443  0.099
 1112  1059.922  0.104
 1113  1060.401  0.064
 1114  1060.881  0.044
 1115  1061.361  0.052
 1116  1061.841  0.058
 1117  1062.322  0.114
 1118  1062.803  0.167
 1119  1063.285  0.102
 1120  1063.767  0.090
 1121  1064.249  0.063
 1122  1064.732  0.055
 1123  1065.215  0.039
 1124  1065.699  0.132
 1125  1066.183  0.208
 1126  1066.668  0.113
 1127  1067.153  0.021
 1128  1067.638  0.024
 1129  1068.124  0.011
 1130  1068.610  0.031
 1131  1069.097  0.016
 1132  1069.584  0.011
 1133  1070.071  0.011
 1134  1070.559  0.011
 1135  1071.047  0.010
 1136  1071.536  0.019
 1137  1072.025  0.018
 1138  1072.515  0.022
 1139  1073.005  0.015
 1140  1073.495  0.010
 1141  1073.986  0.013
 1142  1074.477  0.057
 1143  1074.969  0.046
 1144  1075.461  0.008
 1145  1075.954  0.013
 1146  1076.447  0.010
 1147  1076.940  0.016
 1148  1077.434  0.018
 1149  1077.928  0.008
 1150  1078.423  0.020
 1151  1078.918  0.017
 1152  1079.414  0.015
 1153  1079.910  0.016
 1154  1080.406  0.011
 1155  1080.903  0.033
 1156  1081.400  0.031
 1157  1081.898  0.009
 1158  1082.396  0.012
 1159  1082.895  0.008
 1160  1083.394  0.012
 1161  1083.893  0.010
 1162  1084.393  0.011
 1163  1084.893  0.012
 1164  1085.394  0.033
 1165  1085.895  0.015
 1166  1086.397  0.007
 1167  1086.899  0.012
 1168  1087.401  0.009
 1169  1087.904  0.015
 1170  1088.408  0.013
 1171  1088.912  0.007
 1172  1089.416  0.007
 1173  1089.921  0.009
 1174  1090.426  0.020
 1175  1090.931  0.022
 1176  1091.437  0.024
 1177  1091.944  0.026
 1178  1092.451  0.007
 1179  1092.958  0.008
 1180  1093.466  0.008
